Unnamed: 0,department_name,department_id,degree_name,degree_id,degree_type,courseStudyNameOnly
0,Dipartimento di Ingegneria Civile Ambientale e Meccanica,STO0008626,Ingegneria civile (LT),ingegneriacivile(lt)_1,LT,ingegneriacivile
1,Dipartimento di Economia e Management,STO0008621,Gestione aziendale (LT),gestioneaziendale(lt)_2,LT,gestioneaziendale
2,Dipartimento di Lettere e Filosofia,STO0008632,Beni culturali (LT),beniculturali(lt)_3,LT,beniculturali
3,Dipartimento di Lettere e Filosofia,STO0008632,Filosofia (LT),filosofia(lt)_4,LT,filosofia
4,Dipartimento di Lettere e Filosofia,STO0008632,Studi storici e filologico-letterari (LT),studistoriciefilologico-letterari(lt)_5,LT,studistoriciefilologico-letterari
5,Facoltà di Giurisprudenza,STO0008624,Giurisprudenza (LM5),giurisprudenza(lm5)_6,LM5,giurisprudenza
6,Dipartimento di Sociologia e Ricerca Sociale,STO0008630,Sociologia (LT),sociologia(lt)_7,LT,sociologia
7,Dipartimento di Ingegneria e Scienza dell'Informazione,STO0008629,Ingegneria dell'informazione e delle comunicazioni (LM),ingegneriadell'informazioneedellecomunicazioni(lm)_8,LM,ingegneriadell'informazioneedellecomunicazioni
8,Dipartimento di Ingegneria Civile Ambientale e Meccanica,STO0008626,Ingegneria per l'ambiente e il territorio (LT),ingegneriaperl'ambienteeilterritorio(lt)_9,LT,ingegneriaperl'ambienteeilterritorio
9,Dipartimento di Ingegneria Industriale,STO0008625,Ingegneria industriale (LT),ingegneriaindustriale(lt)_10,LT,ingegneriaindustriale
10,Dipartimento di Ingegneria e Scienza dell'Informazione,STO0008629,Informatica (LT),informatica(lt)_11,LT,informatica
11,Dipartimento di Economia e Management,STO0008621,Amministrazione aziendale e diritto (LT),amministrazioneaziendaleediritto(lt)_12,LT,amministrazioneaziendaleediritto
12,Dipartimento di Fisica,STO0008627,Fisica (LT),fisica(lt)_13,LT,fisica
13,Dipartimento di Ingegneria e Scienza dell'Informazione,STO0008629,Ingegneria dell'informazione e delle comunicazioni (LT),ingegneriadell'informazioneedellecomunicazioni(lt)_14,LT,ingegneriadell'informazioneedellecomunicazioni
14,Dipartimento di Economia e Management,STO0008621,Economia e management (LT),economiaemanagement(lt)_15,LT,economiaemanagement
15,Dipartimento di Matematica,STO0008628,Matematica (LT),matematica(lt)_16,LT,matematica
16,"Dipartimento di Biologia Cellulare, Computazionale e Integrata - CIBIO",STO0008662,Scienze e tecnologie biomolecolari (LT),scienzeetecnologiebiomolecolari(lt)_17,LT,scienzeetecnologiebiomolecolari
17,Dipartimento di Matematica,STO0008628,Data science (LM),datascience(lm)_18,LM,datascience
