nome,link,licenza,formato,versione,openAccess,fileID
Kichko_JoEG.pdf,https://iris.unitn.it/retrieve/handle/11572/344136/556764/Kichko_JoEG.pdf,tutti i diritti riservati,application/pdf,versione editoriale,False,KichkoJoEGpdf1
Rec_Bonafede_Annali_Didattica.pdf,https://iris.unitn.it/retrieve/handle/11572/325994/513519/Rec_Bonafede_Annali_Didattica.pdf,,application/pdf,versione editoriale,False,RecBonafedeAnnaliDidatticapdf2
gwao.12446.pdf,https://iris.unitn.it/retrieve/handle/11572/257904/381199/gwao.12446.pdf,tutti i diritti riservati,application/pdf,postprint,False,gwao12446pdf3
Teorie_classiche_e_neoclassiche_Di_Nicola_Vettori_2020.pdf,https://iris.unitn.it/retrieve/handle/11572/325977/513486/Teorie_classiche_e_neoclassiche_Di_Nicola_Vettori_2020.pdf,tutti i diritti riservati,application/pdf,versione editoriale,False,TeorieclassicheeneoclassicheDiNicolaVettori2020pdf4
Cosulich%20san%20spec%20e%20san%20diff%20in%20CoSS%202020.pdf,https://iris.unitn.it/retrieve/handle/11572/257890/318888/Cosulich%20san%20spec%20e%20san%20diff%20in%20CoSS%202020.pdf,tutti i diritti riservati,application/pdf,versione editoriale,False,Cosulich20san20spec20e20san20diff20in20CoSS202020pdf5
Trasformazioni_FCortese.pdf,https://iris.unitn.it/retrieve/handle/11572/257888/362503/Trasformazioni_FCortese.pdf,tutti i diritti riservati,application/pdf,versione editoriale,False,TrasformazioniFCortesepdf6
Predieri%20et%20al%202020%20nutrients.pdf,https://iris.unitn.it/retrieve/handle/11572/280707/382665/Predieri%20et%20al%202020%20nutrients.pdf,,application/pdf,versione editoriale,False,Predieri20et20al20202020nutrientspdf7
Simoni_BriefingsInBF_bbz014.pdf,https://iris.unitn.it/retrieve/handle/11572/326024/513585/Simoni_BriefingsInBF_bbz014.pdf,tutti i diritti riservati,application/pdf,versione editoriale,False,SimoniBriefingsInBFbbz014pdf8
JINST_2020_1.pdf,https://iris.unitn.it/retrieve/handle/11572/293895/418482/JINST_2020_1.pdf,tutti i diritti riservati,application/pdf,versione editoriale,False,JINST20201pdf9
JINST_2020_2.pdf,https://iris.unitn.it/retrieve/handle/11572/293899/418492/JINST_2020_2.pdf,tutti i diritti riservati,application/pdf,versione editoriale,False,JINST20202pdf10
NIMA2020_1.pdf,https://iris.unitn.it/retrieve/handle/11572/293893/418478/NIMA2020_1.pdf,tutti i diritti riservati,application/pdf,versione editoriale,False,NIMA20201pdf11
MNL2020.pdf,https://iris.unitn.it/retrieve/handle/11572/293916/418535/MNL2020.pdf,tutti i diritti riservati,application/pdf,versione editoriale,False,MNL2020pdf12
NIMA2020_9.pdf,https://iris.unitn.it/retrieve/handle/11572/293911/418517/NIMA2020_9.pdf,tutti i diritti riservati,application/pdf,versione editoriale,False,NIMA20209pdf13
EMPATHY_2020_paper_2.pdf,https://iris.unitn.it/retrieve/handle/11572/280756/382816/EMPATHY_2020_paper_2.pdf,tutti i diritti riservati,application/pdf,versione editoriale,False,EMPATHY2020paper2pdf14
Galesi%20Welfare%20ergonomia%20%20versione%20settembre%202020.docx,https://iris.unitn.it/retrieve/handle/11572/280776/382871/Galesi%20Welfare%20ergonomia%20%20versione%20settembre%202020.docx,tutti i diritti riservati,application/vnd.openxmlformats-officedocument.wordprocessingml.document,postprint,False,Galesi20Welfare20ergonomia2020versione20settembre202020docx15
Poggio%20-%20Czarniawska.pdf,https://iris.unitn.it/retrieve/handle/11572/325935/513367/Poggio%20-%20Czarniawska.pdf,tutti i diritti riservati,application/pdf,versione editoriale,False,Poggio2020Czarniawskapdf16
